rowid,sy_dist,sy_pnum,discoverymethod,disc_year
786,59.859,1,Radial Velocity,2009
787,30.8248,1,Radial Velocity,2002
788,67.7855,2,Radial Velocity,2010
789,67.7855,2,Radial Velocity,2010
790,25.3936,1,Radial Velocity,2008
791,53.1119,1,Radial Velocity,2010
792,28.254,1,Radial Velocity,2015
793,39.3633,2,Radial Velocity,2009
794,39.3633,2,Radial Velocity,2026
795,22.0016,4,Radial Velocity,2005
796,22.0016,4,Radial Velocity,2016
797,22.0016,4,Radial Velocity,2020
798,22.0016,4,Radial Velocity,2021
799,57.4263,1,Radial Velocity,2023
800,63.3574,1,Radial Velocity,2016
801,117.908,1,Radial Velocity,2015
802,45.1342,1,Radial Velocity,2012
803,49.6633,1,Radial Velocity,2007
804,54.3258,1,Radial Velocity,2023
805,107.214,1,Radial Velocity,2022
806,23.3032,1,Radial Velocity,2021
807,39.6245,2,Radial Velocity,1998
808,39.6245,2,Radial Velocity,2000
809,41.5681,1,Radial Velocity,2002
810,39.8979,1,Radial Velocity,2022
811,752.615,1,Radial Velocity,2010
812,39.7401,1,Radial Velocity,2022
813,113.6,1,Imaging,2023
814,37.6048,2,Radial Velocity,2000
815,37.6048,2,Radial Velocity,2003
816,60.178,1,Radial Velocity,2007
817,228.422,1,Radial Velocity,2007
818,111.659,1,Radial Velocity,2007
819,44.8113,1,Radial Velocity,2009
820,78.0863,1,Radial Velocity,2007
821,132.184,1,Radial Velocity,2008
822,234.027,1,Radial Velocity,2022
823,71.0863,1,Radial Velocity,2009
824,129.603,1,Radial Velocity,2007
826,44.4264,1,Radial Velocity,2017
829,27.7843,3,Radial Velocity,2026
830,16.9179,1,Radial Velocity,2017
831,62.7674,2,Radial Velocity,1999
832,62.7674,2,Radial Velocity,2010
833,40.9727,1,Radial Velocity,2001
835,27.4573,1,Radial Velocity,2000
836,137.043,1,Radial Velocity,2018
837,123.801,1,Radial Velocity,2018
838,122.362,1,Radial Velocity,2010
839,5.91059,1,Radial Velocity,2018
840,104.577,1,Radial Velocity,2009
841,47.7458,1,Radial Velocity,2019
842,120.391,1,Radial Velocity,2009
843,22.5243,2,Radial Velocity,2022
844,22.5243,2,Radial Velocity,2022
847,26.8762,3,Radial Velocity,2008
848,60.2046,1,Radial Velocity,2009
849,54.1955,2,Radial Velocity,2004
850,54.1955,2,Radial Velocity,2008
851,57.2651,1,Transit,2021
852,60.7993,3,Radial Velocity,2022
853,60.7993,3,Radial Velocity,2022
854,60.7993,3,Radial Velocity,2022
855,224.146,1,Radial Velocity,2023
856,51.9917,1,Radial Velocity,2006
857,31.395,1,Radial Velocity,2023
858,38.5653,1,Transit,2022
859,45.8993,1,Radial Velocity,2006
860,45.9548,2,Radial Velocity,1998
861,45.9548,2,Radial Velocity,2008
862,162.685,1,Radial Velocity,2011
863,50.6706,1,Radial Velocity,2004
864,64.3399,1,Radial Velocity,2022
865,17.9055,2,Radial Velocity,2021
866,17.9055,2,Radial Velocity,2021
867,19.7638,1,Radial Velocity,2005
868,12.7141,1,Radial Velocity,2020
869,62.7146,1,Radial Velocity,2022
870,16.0069,2,Radial Velocity,2003
871,16.0069,2,Radial Velocity,2005
872,54.4738,1,Radial Velocity,2007
873,148.187,1,Radial Velocity,2009
874,65.6668,1,Radial Velocity,2016
875,53.6089,6,Transit,2020
876,53.6089,6,Transit,2020
877,53.6089,6,Transit,2020
878,53.6089,6,Radial Velocity,2022
879,53.6089,6,Radial Velocity,2022
880,53.6089,6,Radial Velocity,2022
881,19.6359,1,Radial Velocity,1999
882,8.79687,2,Radial Velocity,2011
883,8.79687,2,Radial Velocity,2011
884,71.8627,1,Radial Velocity,2007
885,80.2349,1,Radial Velocity,2022
886,37.6681,1,Radial Velocity,1998
887,50.6742,1,Radial Velocity,2002
888,39.9346,2,Radial Velocity,2012
889,39.9346,2,Radial Velocity,2025
890,265.155,1,Radial Velocity,2022
891,34.1692,1,Radial Velocity,2007
892,33.1944,1,Radial Velocity,2012
893,24.3056,1,Radial Velocity,2022
894,22.5242,1,Radial Velocity,2003
895,41.8316,2,Radial Velocity,2019
896,41.8316,2,Radial Velocity,2019
897,72.5922,2,Radial Velocity,2010
898,72.5922,2,Radial Velocity,2010
899,45.9665,1,Radial Velocity,2004
902,161.498,1,Transit,2019
903,39.2503,1,Imaging,2006
904,63.6796,1,Transit,2022
905,61.7477,2,Radial Velocity,2022
906,61.7477,2,Radial Velocity,2022
907,85.6922,1,Radial Velocity,2002
908,47.7945,3,Radial Velocity,2010
909,47.7945,3,Radial Velocity,2015
910,47.7945,3,Radial Velocity,2022
911,28.7165,1,Radial Velocity,2011
912,86.6159,1,Radial Velocity,2022
913,92.5087,1,Radial Velocity,2008
914,75.2363,1,Radial Velocity,2019
915,147.192,1,Radial Velocity,2009
916,40.7583,2,Imaging,2021
917,40.7583,2,Imaging,2022
918,23.606,1,Transit,2023
919,35.9715,5,Radial Velocity,2019
920,35.9715,5,Radial Velocity,2019
921,35.9715,5,Radial Velocity,2019
922,35.9715,5,Radial Velocity,2019
923,35.9864,5,Radial Velocity,2006
924,58.9291,2,Radial Velocity,2012
925,58.9291,2,Radial Velocity,2012
926,28.2938,1,Transit,2021
927,6.00278,4,Radial Velocity,2011
928,6.00278,4,Radial Velocity,2011
929,6.00278,4,Radial Velocity,2017
930,6.00278,4,Radial Velocity,2025
931,45.147,1,Radial Velocity,2004
932,312.202,1,Radial Velocity,2012
933,47.7223,1,Radial Velocity,2008
934,67.4872,1,Radial Velocity,2017
935,48.3016,1,Radial Velocity,1999
936,42.2029,1,Radial Velocity,2019
937,21.2985,1,Radial Velocity,1998
938,54.1963,1,Radial Velocity,2007
939,83.0919,1,Radial Velocity,2021
940,64.6353,1,Radial Velocity,2018
941,13.1277,1,Radial Velocity,2019
942,54.2304,1,Radial Velocity,2005
943,111.155,1,Radial Velocity,2009
944,40.8707,1,Radial Velocity,2001
945,64.4527,1,Radial Velocity,2021
946,41.0014,1,Radial Velocity,2022
947,48.0883,2,Transit,2019
948,48.0883,2,Radial Velocity,2019
949,29.1328,1,Radial Velocity,2019
950,101.368,1,Radial Velocity,2016
955,79.208,1,Transit,2024
957,40.5468,2,Radial Velocity,2009
958,32.9834,1,Radial Velocity,2002
959,26.6902,1,Radial Velocity,2002
960,19.552,2,Radial Velocity,2020
961,19.552,2,Radial Velocity,2020
962,376.233,1,Radial Velocity,2015
963,36.6625,1,Radial Velocity,2003
964,33.255,2,Radial Velocity,2019
965,33.255,2,Radial Velocity,2019
966,20.0619,2,Radial Velocity,1998
967,20.0619,2,Radial Velocity,2005
968,16.32,2,Transit,2019
969,55.4847,2,Radial Velocity,2011
970,55.4847,2,Radial Velocity,2022
971,61.7957,1,Radial Velocity,2022
972,28.8274,1,Radial Velocity,2010
973,29.1864,1,Radial Velocity,2012
974,6.53127,6,Radial Velocity,2015
975,6.53127,6,Radial Velocity,2015
976,6.53127,6,Radial Velocity,2015
977,6.53127,6,Radial Velocity,2015
978,6.53127,6,Radial Velocity,2015
979,6.53127,6,Radial Velocity,2015
980,104.935,1,Radial Velocity,2021
981,165.184,1,Radial Velocity,2012
982,94.1719,1,Transit,2018
983,73.114,2,Radial Velocity,2007
984,73.114,2,Radial Velocity,2016
985,324.54,1,Radial Velocity,2012
986,64.411,1,Radial Velocity,2018
987,46.8778,1,Radial Velocity,2012
988,50.5103,1,Radial Velocity,2011
989,64.6498,1,Radial Velocity,2016
990,55.9231,1,Radial Velocity,2007
991,95.5483,1,Transit,2019
992,31.1415,1,Radial Velocity,2019
993,55.8535,1,Radial Velocity,2016
994,91.1538,1,Radial Velocity,2016
995,50.6078,1,Radial Velocity,2011
996,11.4469,1,Radial Velocity,2024
997,42.1586,1,Radial Velocity,1999
998,105.48,3,Radial Velocity,2025
999,105.48,3,Transit,2025
1000,105.48,3,Transit,2025
1001,79.0608,1,Radial Velocity,2016
1002,93.5015,1,Radial Velocity,2006
1003,13.5956,1,Radial Velocity,2021
1004,161.183,1,Radial Velocity,2022
1005,32.6034,1,Radial Velocity,2011
1006,62.7792,3,Transit,2023
1007,33.4591,2,Radial Velocity,2001
1008,33.4591,2,Radial Velocity,2025
1009,93.8555,1,Radial Velocity,2006
1010,108.877,1,Radial Velocity,2007
1011,847.058,1,Radial Velocity,2013
1012,58.742,1,Radial Velocity,2018
1013,39.0341,5,Transit,2019
1014,39.0341,5,Transit,2019
1015,39.0341,5,Transit,2022
1016,39.0341,5,Transit,2022
1017,39.0341,5,Transit,2022
1018,41.1706,1,Transit,2023
1019,52.0018,1,Radial Velocity,2003
1020,15.2354,1,Radial Velocity,2020
1021,519.452,1,Radial Velocity,2018
1022,372.405,1,Radial Velocity,2009
1023,933.377,1,Radial Velocity,2011
1024,46.6224,2,Radial Velocity,2006
1025,46.6224,2,Radial Velocity,2021
1026,300.247,1,Radial Velocity,2015
1027,54.9004,1,Radial Velocity,2019
1028,37.433,1,Radial Velocity,2019
1029,55.6146,1,Radial Velocity,2010
1030,45.6181,2,Transit,2023
1031,45.6181,2,Transit,2023
1032,114.816,1,Radial Velocity,2020
1033,49.1661,2,Radial Velocity,2022
1034,49.1661,2,Radial Velocity,2022
1035,10.0055,2,Transit,2022
1036,10.0055,2,Transit,2022
1037,40.9128,1,Radial Velocity,2021
1038,54.9621,1,Radial Velocity,2005
1039,196.852,1,Transit,2019
1040,18.2704,1,Radial Velocity,2000
1041,50.2862,1,Radial Velocity,2012
1042,43.8214,3,Radial Velocity,2005
1043,43.8214,3,Radial Velocity,2017
1044,43.8214,3,Radial Velocity,2017
1045,67.9328,1,Radial Velocity,2021
1046,139.611,3,Transit,2022
1047,139.611,3,Transit,2022
1048,139.611,3,Transit,2022
1049,39.3809,2,Radial Velocity,2001
1050,39.3809,2,Radial Velocity,2022
1051,49.8063,1,Radial Velocity,2022
1052,55.2884,1,Radial Velocity,2010
1053,117.807,1,Imaging,2017
1054,43.6455,3,Radial Velocity,2025
1055,43.6455,3,Radial Velocity,2025
1056,43.6455,3,Radial Velocity,2025
1057,45.0293,1,Radial Velocity,2013
1058,9.47045,1,Radial Velocity,2008
1059,189.908,1,Radial Velocity,2011
1060,30.9939,1,Radial Velocity,2017
1061,56.433,1,Radial Velocity,2009
1062,44.1518,1,Radial Velocity,2022
1063,110.103,1,Radial Velocity,2013
1064,31.2707,1,Radial Velocity,2022
1065,55.5867,2,Radial Velocity,2002
1066,55.5867,2,Radial Velocity,2016
1067,26.1597,1,Radial Velocity,2009
1068,58.0844,1,Radial Velocity,2014
1069,131.199,1,Radial Velocity,2011
1070,58.1438,1,Radial Velocity,2010
1071,38.4473,3,Radial Velocity,2019
1072,38.4473,3,Radial Velocity,2019
1073,38.4473,3,Radial Velocity,2019
1074,47.2899,4,Transit,2016
1075,47.2899,4,Transit,2016
1076,47.2899,4,Radial Velocity,2017
1077,47.2899,4,Radial Velocity,2022
1078,122.115,1,Radial Velocity,2009
1079,38.0786,1,Radial Velocity,2015
1080,45.2989,1,Radial Velocity,2004
1081,50.1928,1,Radial Velocity,2021
1082,121.375,3,Radial Velocity,2011
1083,121.375,3,Radial Velocity,2018
1084,121.375,3,Radial Velocity,2022
1085,80.6665,1,Transit,2020
1086,89.8623,1,Radial Velocity,2006
1087,20.9531,1,Radial Velocity,2005
1088,105.779,2,Radial Velocity,2015
1089,105.779,2,Radial Velocity,2015
1090,46.0907,6,Radial Velocity,2009
1091,46.0907,6,Radial Velocity,2017
1092,46.0907,6,Radial Velocity,2017
1093,46.0907,6,Radial Velocity,2017
1094,46.0907,6,Radial Velocity,2017
1095,46.0907,6,Radial Velocity,2017
1096,71.2423,1,Radial Velocity,2016
1097,69.6026,2,Radial Velocity,2025
1098,69.6026,2,Transit,2025
1099,111.542,1,Radial Velocity,2021
1100,209.309,1,Radial Velocity,2023
1101,11.1336,1,Radial Velocity,2003
1102,31.6634,3,Radial Velocity,2002
1103,31.6634,3,Radial Velocity,2002
1104,31.6634,3,Radial Velocity,2005
1105,46.7864,2,Radial Velocity,2004
1106,46.7864,2,Radial Velocity,2012
1107,17.926,1,Radial Velocity,2021
1108,38.0615,1,Radial Velocity,2010
1109,42.3538,2,Radial Velocity,2000
1110,42.3538,2,Radial Velocity,2000
1111,91.4349,1,Radial Velocity,2009
1112,18.2702,3,Radial Velocity,2001
1113,26.4131,3,Radial Velocity,2021
1114,26.4131,3,Radial Velocity,2021
1115,26.4131,3,Radial Velocity,2021
1116,23.2599,1,Radial Velocity,2019
1120,12.9363,5,Radial Velocity,2013
1121,12.9363,5,Radial Velocity,2013
1122,116.593,1,Radial Velocity,2017
1123,34.0883,1,Radial Velocity,2002
1124,36.69117,2,Radial Velocity,2004
1125,41.5504,2,Radial Velocity,2003
1126,41.8727,1,Radial Velocity,2007
1127,36.7984,1,Radial Velocity,2017
1128,81.3795,2,Radial Velocity,2001
1129,81.3795,2,Radial Velocity,2014
1130,34.1937,1,Radial Velocity,2001
1131,24.3358,1,Radial Velocity,2016
1132,22.0158,1,Radial Velocity,2005
1133,136.308,1,Radial Velocity,2009
1134,62.4112,2,Radial Velocity,2010
1135,62.4112,2,Radial Velocity,2022
1136,85.6009,1,Radial Velocity,2007
1137,52.9051,1,Radial Velocity,2010
1138,21.9532,2,Radial Velocity,2019
1139,21.9532,2,Radial Velocity,2019
1140,46.8733,1,Radial Velocity,2004
1141,34.354,2,Radial Velocity,2008
1142,34.354,2,Radial Velocity,2008
1143,34.8541,1,Radial Velocity,2008
1144,55.0375,1,Radial Velocity,2022
1145,29.5529,1,Radial Velocity,2000
1146,37.4574,2,Radial Velocity,2008
1147,37.4574,2,Radial Velocity,2008
1148,54.7841,2,Radial Velocity,2012
1149,54.7841,2,Radial Velocity,2012
1150,84.3552,2,Radial Velocity,2016
1151,84.3552,2,Radial Velocity,2016
1152,122.536,1,Radial Velocity,2002
1153,537.873,1,Radial Velocity,2021
1154,90.5446,2,Radial Velocity,2008
1155,90.5446,2,Radial Velocity,2026
1156,16.9043,3,Radial Velocity,2024
1157,16.9043,3,Radial Velocity,2024
1158,16.9043,3,Radial Velocity,2024
1159,204.277,1,Radial Velocity,2018
1160,43.0399,1,Radial Velocity,2002
1161,46.2845,2,Radial Velocity,2005
1162,46.2845,2,Radial Velocity,2019
1163,31.1664,1,Radial Velocity,2002
1164,35.0553,2,Radial Velocity,2019
1165,35.0553,2,Radial Velocity,2019
1166,29.9803,1,Radial Velocity,2000
1167,57.5846,2,Transit,2021
1168,57.5846,2,Radial Velocity,2021
1169,121.405,2,Radial Velocity,2007
1170,121.405,2,Radial Velocity,2014
1171,77.9693,1,Radial Velocity,2018
1172,219.216,1,Radial Velocity,2016
1173,58.1105,1,Radial Velocity,2012
1174,51.1659,1,Radial Velocity,2014
1175,272.217,1,Transit,2022
1176,61.4925,1,Radial Velocity,2022
1177,283.502,1,Radial Velocity,2011
1178,89.2721,1,Radial Velocity,2016
1179,315.211,1,Radial Velocity,2020
1180,25.9716,2,Radial Velocity,2008
1181,25.9716,2,Radial Velocity,2008
1182,67.6203,1,Transit,2023
1183,53.112,2,Radial Velocity,2022
1184,53.112,2,Radial Velocity,2022
1185,10.34,1,Radial Velocity,2006
1186,49.3305,1,Radial Velocity,2022
1187,22.4035,3,Transit,2020
1188,22.4035,3,Transit,2020
1189,22.4035,3,Transit,2023
1190,37.6894,1,Radial Velocity,2005
1191,32.5376,1,Radial Velocity,2009
1192,48.9739,2,Transit,2021
1193,48.9739,2,Radial Velocity,2021
1194,31.5262,1,Radial Velocity,2019
1195,129.966,1,Radial Velocity,2022
1196,42.358,1,Radial Velocity,2003
1197,35.1205,2,Radial Velocity,2003
1198,35.1205,2,Radial Velocity,2013
1199,68.1509,1,Radial Velocity,2012
1200,53.2817,2,Radial Velocity,2005
1201,53.2817,2,Radial Velocity,2021
1202,76.5217,2,Radial Velocity,2015
1203,76.5217,2,Radial Velocity,2015
1204,78.4293,1,Radial Velocity,2016
1205,33.4297,1,Radial Velocity,2026
1206,61.12469,1,Radial Velocity,2023
1207,60.8447,2,Radial Velocity,2001
1208,60.8447,2,Radial Velocity,2021
1209,75.116,1,Radial Velocity,2022
1210,12.5591,3,Radial Velocity,2006
1211,12.5591,3,Radial Velocity,2006
1212,12.5591,3,Radial Velocity,2006
1213,59.182,1,Radial Velocity,2007
1214,29.276,1,Radial Velocity,2003
1216,126.339,1,Radial Velocity,2018
1217,51.8949,2,Radial Velocity,2002
1218,51.8949,2,Radial Velocity,2022
1219,69.7311,1,Radial Velocity,2016
1220,36.708,1,Radial Velocity,2023
1221,50.4093,2,Radial Velocity,2008
1222,50.4093,2,Radial Velocity,2022
1223,35.26,3,Transit,2024
1224,35.26,3,Radial Velocity,2025
1225,35.26,3,Radial Velocity,2025
1226,97.2396,2,Radial Velocity,2002
1227,97.2396,2,Radial Velocity,2005
1228,83.3321,1,Radial Velocity,2008
1229,31.5666,2,Transit,2022
1230,31.5666,2,Transit,2022
1231,57.603,2,Radial Velocity,2003
1232,57.603,2,Radial Velocity,2003
1233,38.662,1,Radial Velocity,2011
1234,52.0648,2,Radial Velocity,2023
1235,52.0648,2,Radial Velocity,2023
1236,29.1158,1,Radial Velocity,1999
1237,30.3288,1,Radial Velocity,2023
1238,85.4321,2,Radial Velocity,2014
1239,85.4321,2,Radial Velocity,2018
1240,78.0505,2,Radial Velocity,2007
1241,78.0505,2,Radial Velocity,2024
1242,60.8831,1,Radial Velocity,2002
1243,184.031,1,Radial Velocity,2017
1244,45.935,1,Radial Velocity,2012
1245,99.451,1,Transit,2024
1246,103.335,1,Radial Velocity,2021
1250,48.9489,1,Radial Velocity,2011
1251,66.4711,1,Radial Velocity,2001
1252,109.86,2,Transit,2020
1253,85.3951,1,Radial Velocity,2021
1254,34.6011,1,Radial Velocity,2022
1255,61.3603,1,Radial Velocity,2022
1256,34.4341,1,Radial Velocity,2005
1257,85.7183,1,Radial Velocity,2007
1258,269.126,2,Radial Velocity,2020
1259,269.126,2,Radial Velocity,2022
1260,127.061,1,Radial Velocity,2011
1261,27.5902,2,Radial Velocity,2003
1262,27.5902,2,Radial Velocity,2003
1263,30.6862,1,Radial Velocity,2019
1264,40.8991,2,Radial Velocity,2002
1265,40.8991,2,Radial Velocity,2022
1266,55.4401,1,Radial Velocity,2010
1267,33.5225,1,Radial Velocity,2009
1268,53.974,2,Radial Velocity,2026
1269,44.8264,1,Radial Velocity,2002
1270,40.3661,1,Radial Velocity,2022
1271,103.936,1,Radial Velocity,2006
1272,45.683,2,Radial Velocity,2009
1273,45.683,2,Transit,2020
1274,67.8107,1,Radial Velocity,2009
1275,14.9202,1,Radial Velocity,2025
1276,37.8619,1,Radial Velocity,2009
1277,209.839,1,Radial Velocity,2016
1278,73.58352,1,Radial Velocity,2016
1279,133.233,2,Radial Velocity,2025
1280,133.233,2,Radial Velocity,2025
1281,18.2912,1,Radial Velocity,2009
1282,35.9098,1,Radial Velocity,2022
1283,73.6123,1,Radial Velocity,2004
1284,33.2673,1,Radial Velocity,2023
1285,32.0104,1,Radial Velocity,2009
1286,132.345,1,Transit,2018
1287,38.6364,1,Radial Velocity,1999
1288,57.3063,1,Radial Velocity,2023
1289,21.9496,1,Radial Velocity,2009
1290,81.4893,1,Radial Velocity,2016
1291,34.6538,2,Radial Velocity,2000
1292,34.6538,2,Radial Velocity,2019
1293,28.5159,1,Radial Velocity,2005
1294,56.163,2,Radial Velocity,2022
1295,56.163,2,Radial Velocity,2022
1296,43.3475,3,Radial Velocity,2021
1297,43.3475,3,Radial Velocity,2021
1298,43.3475,3,Radial Velocity,2021
1299,82.3432,2,Transit,2022
1300,82.3432,2,Transit,2022
1301,50.3503,2,Radial Velocity,2009
1302,50.3503,2,Radial Velocity,2009
1303,57.7807,1,Radial Velocity,2023
1304,98.1609,1,Radial Velocity,2018
1305,61.7012,2,Radial Velocity,2025
1306,61.7012,2,Radial Velocity,2025
1307,86.2279,1,Imaging,2013
1308,136.957,2,Radial Velocity,2009
1309,136.957,2,Radial Velocity,2018
1310,676.579,1,Radial Velocity,2015
1311,36.9941,1,Radial Velocity,2020
1312,87.8049,1,Radial Velocity,2021
1313,5.675773,2,Radial Velocity,2021
1314,72.2195,1,Radial Velocity,2015
1315,140.065,1,Radial Velocity,2011
1316,587.659,1,Radial Velocity,2011
1317,85.3006,1,Radial Velocity,2009
1318,25.4111,3,Radial Velocity,2021
1319,25.4111,3,Radial Velocity,2021
1320,25.4111,3,Radial Velocity,2021
1321,396.082,1,Radial Velocity,2021
1322,32.413,1,Radial Velocity,2022
1323,183.857,1,Disk Kinematics,2019
1324,21.5618,1,Radial Velocity,2010
1325,113.704,1,Radial Velocity,2011
1326,42.1727,1,Radial Velocity,2012
1327,32.4459,1,Radial Velocity,2018
1328,54.7901,1,Radial Velocity,2005
1329,111.093,1,Radial Velocity,2021
1330,18.2038,2,Radial Velocity,2004
1331,18.2038,2,Radial Velocity,2023
1332,146.6,2,Radial Velocity,2011
1333,146.6,2,Radial Velocity,2018
1334,78.6381,1,Radial Velocity,2014
1335,23.6434,1,Radial Velocity,2020
1336,105.18,1,Radial Velocity,2015
1337,58.9582,1,Radial Velocity,2016
1338,66.3361,1,Radial Velocity,2016
1339,88.077,2,Radial Velocity,2025
1340,88.077,2,Radial Velocity,2025
1341,46.2122,2,Transit,2023
1342,46.2122,2,Transit,2023
1343,101.766,1,Radial Velocity,2021
1344,62.4491,1,Transit,2014
1345,23.371,1,Radial Velocity,2010
1346,50.48,3,Radial Velocity,2005
1347,50.48,3,Radial Velocity,2006
1348,50.48,3,Radial Velocity,2009
1349,47.0288,1,Radial Velocity,2025
1350,40.2707,1,Radial Velocity,2022
1351,43.4073,1,Imaging,2022
1352,68.192,3,Radial Velocity,2023
1353,68.192,3,Radial Velocity,2023
1354,22.8386,1,Radial Velocity,2021
1355,33.1562,1,Radial Velocity,2019
1356,50.1677,1,Radial Velocity,2022
1357,17.7886,2,Radial Velocity,2020
1358,17.7886,2,Radial Velocity,2020
1359,66.3217,1,Imaging,2024
1360,106.289,6,Transit,2016
1361,106.289,6,Transit,2016
1362,106.289,6,Transit,2016
1363,106.289,6,Transit,2016
1364,106.289,6,Transit,2016
1365,106.289,6,Radial Velocity,2025
1366,21.0974,1,Radial Velocity,2020
1367,10.5298,1,Radial Velocity,2020
1368,51.6026,2,Radial Velocity,2009
1369,51.6026,2,Radial Velocity,2011
1370,18.7168,2,Radial Velocity,2019
1371,18.7168,2,Radial Velocity,2019
1372,82.8101,1,Imaging,2026
1373,39.7429,1,Radial Velocity,2023
1374,25.4893,1,Radial Velocity,2022
1375,122.324,1,Radial Velocity,2021
1377,25.8618,3,Radial Velocity,2011
1378,25.8618,3,Radial Velocity,2011
1379,31.9043,1,Radial Velocity,2021
1380,156.456,1,Radial Velocity,2013
1381,61.7856,1,Transit,2020
1382,61.7804,2,Radial Velocity,2016
1383,61.7804,2,Radial Velocity,2016
1384,108.875,1,Imaging,2017
1385,150.292,1,Radial Velocity,2015
1386,35.4438,1,Astrometry,2023
1387,127.28,2,Transit,2020
1388,127.28,2,Transit,2024
1389,116.046,1,Radial Velocity,2017
1390,64.1181,2,Radial Velocity,2015
1391,64.1181,2,Radial Velocity,2015
1392,24.0572,1,Radial Velocity,2009
1393,32.3311,1,Radial Velocity,2019
1394,78.6562,1,Radial Velocity,2016
1395,81.6696,1,Radial Velocity,2021
1396,150.862,1,Imaging,2024
1397,136.759,1,Imaging,2010
1398,145.798,1,Imaging,2019
1399,14.5324,1,Radial Velocity,2009
1400,147.533,1,Imaging,2023
1401,101.694,2,Transit,2023
1402,101.694,2,Transit,2023
1403,155.121,2,Radial Velocity,2016
1404,29.4898,1,Radial Velocity,2021
1405,94.0349,1,Radial Velocity,2021
1406,45.8846,1,Radial Velocity,2013
1407,58.5146,1,Transit,2022
1408,34.8523,1,Radial Velocity,2022
1409,67.5478,2,Transit,2023
1410,67.5478,2,Transit,2023
1411,65.9501,2,Transit,2021
1412,65.9501,2,Radial Velocity,2021
1413,102.275,1,Radial Velocity,2014
1414,40.0765,1,Imaging,2023
1415,6.24442,1,Radial Velocity,2023
1416,18.1186,1,Imaging,2006
1417,34.0071,1,Imaging,2016
1418,31.4607,1,Radial Velocity,2019
1419,17.3181,1,Radial Velocity,1999
1420,31.964,3,Transit,2019
1421,31.964,3,Transit,2019
1422,31.964,3,Transit,2019
1423,41.2441,4,Imaging,2008
1424,41.2441,4,Imaging,2008
1425,41.2441,4,Imaging,2008
1426,41.2441,4,Imaging,2010
1427,37.6604,1,Radial Velocity,2024
1428,192.19807871,2,Eclipse Timing Variations,2011
1429,192.19807871,2,Eclipse Timing Variations,2011
1430,859.324,1,Radial Velocity,2018
1431,159.244,1,Transit,2024
1432,136.37,1,Imaging,2024
1433,272.36,1,Transit,2015
1434,188.959,1,Transit,2016
1435,188.33,1,Transit,2016
1436,188.175,1,Transit,2016
1437,189.289,1,Transit,2016
1438,197.989,1,Transit,2017
1439,685.2,1,Transit,2017
1440,477.295,1,Transit,2017
1441,329.309,1,Transit,2015
1442,116.474,1,Transit,2017
1443,200.394,2,Transit,2017
1444,200.394,2,Radial Velocity,2020
1445,635.722,1,Transit,2017
1446,475.758,1,Transit,2017
1447,413.591,1,Transit,2017
1448,49.3855,1,Transit,2017
1449,101.632,2,Transit,2017
1450,101.632,2,Transit,2017
1451,321.722,1,Transit,2017
1452,365.581,1,Transit,2017
1453,326.381,1,Transit,2015
1454,169.398,1,Transit,2017
1455,72.0444,1,Transit,2017
1456,161.555,1,Transit,2017
1457,140.385,1,Transit,2017
1458,124.156,1,Transit,2017
1459,102.953,1,Transit,2017
1460,709.999,1,Transit,2017
1461,114.637,1,Transit,2017
1462,27.7957,1,Transit,2017
1463,342.394,1,Transit,2015
1464,118.011,1,Transit,2017
1465,152.509,1,Transit,2017
1466,609.818,1,Transit,2017
1467,75.1703,4,Transit,2017
1468,75.1703,4,Transit,2017
1469,75.1703,4,Transit,2017
1470,75.1703,4,Transit,2019
1471,59.2474,3,Transit,2017
1472,59.2474,3,Transit,2017
1473,59.2474,3,Transit,2017
1474,98.8765,1,Transit,2017
1475,202.585,6,Transit,2017
1476,202.585,6,Transit,2017
1477,202.585,6,Transit,2017
1478,202.585,6,Transit,2017
1479,202.585,6,Transit,2017
1480,202.585,6,Transit,2021
1481,153.856,1,Transit,2017
1482,364.048,1,Transit,2015
1483,347.917,1,Transit,2017
1484,61.8736,2,Transit,2018
1485,61.8736,2,Transit,2018
1486,79.3002,2,Transit,2018
1487,79.3002,2,Transit,2019
1488,90.5494,1,Transit,2018
1489,124.458,3,Transit,2018
1490,124.458,3,Transit,2018
1491,124.458,3,Transit,2018
1492,123.676,1,Transit,2018
1493,493.992,1,Transit,2015
1494,102.483,1,Transit,2018
1495,69.4798,1,Transit,2018
1496,108.449,1,Transit,2018
1497,143.125,1,Transit,2018
1498,129.356,2,Transit,2018
1499,129.356,2,Transit,2018
1500,72.7998,3,Transit,2018
1501,72.7998,3,Transit,2018
1502,72.7998,3,Transit,2018
1503,150.21,1,Transit,2018
1504,298.373,3,Transit,2018
1505,298.373,3,Radial Velocity,2025
1506,298.373,3,Radial Velocity,2025
1507,197.299,2,Transit,2018
1508,197.299,2,Transit,2018
1509,170.998,1,Transit,2018
1510,334.967,3,Transit,2015
1511,334.967,3,Transit,2015
1512,315.363,1,Transit,2018
1513,916.319,1,Transit,2018
1514,124.433,1,Transit,2018
1515,208.529,1,Transit,2018
1516,375.67,1,Transit,2018
1517,134.591,3,Transit,2018
1518,134.591,3,Transit,2018
1519,134.591,3,Transit,2018
1520,476.882,2,Transit,2018
1521,80.8994,1,Transit,2018
1522,243.935,2,Transit,2018
1523,235.867,1,Transit,2018
1524,125.106,1,Transit,2015
1525,392.872,2,Transit,2018
1526,392.872,2,Transit,2018
