rowid,sy_dist,sy_pnum,discoverymethod,disc_year
187,561.929,2,Transit,2021
188,561.929,2,Transit,2021
189,336.25,2,Transit,2019
190,336.25,2,Transit,2019
191,624.512,1,Transit,2021
192,496.289,2,Transit,2019
193,244.59,2,Transit,2016
194,244.59,2,Transit,2016
195,150.124,1,Transit,2021
196,121.971,1,Transit,2023
197,372.632,1,Transit,2018
198,551.886,1,Transit,2018
199,321.296,3,Transit,2020
200,321.296,3,Transit,2020
201,321.296,3,Transit,2020
202,133.4950466,1,Imaging,2008
203,9.53114,2,Radial Velocity,2025
204,9.53114,2,Radial Velocity,2025
205,21.7912,1,Imaging,2024
206,10.6267,1,Radial Velocity,2025
207,16.009,2,Radial Velocity,2021
208,16.009,2,Radial Velocity,2021
210,27.9276,1,Transit,2019
211,4.84867,2,Radial Velocity,2022
212,4.84867,2,Radial Velocity,2022
213,3.67278,3,Radial Velocity,2020
214,3.67278,3,Radial Velocity,2020
215,3.67278,3,Radial Velocity,2020
216,12.613,2,Transit,2015
217,12.613,2,Radial Velocity,2018
218,11.0143,2,Radial Velocity,2010
219,11.0143,2,Radial Velocity,2017
220,8.03625,1,Radial Velocity,2023
221,14.6427,1,Transit,2009
222,20.373,1,Transit,2020
223,10.2525,1,Radial Velocity,2018
224,8.35147,1,Radial Velocity,2024
225,16.32,2,Transit,2019
226,3.56228,2,Radial Velocity,2014
227,3.56228,2,Radial Velocity,2018
228,25.8557,1,Radial Velocity,2014
229,15.1285,3,Radial Velocity,2013
230,15.1285,3,Radial Velocity,2013
231,15.1285,3,Radial Velocity,2013
232,12.356,1,Radial Velocity,2009
233,11.9407,3,Radial Velocity,2014
234,11.9407,3,Radial Velocity,2014
235,11.9407,3,Radial Velocity,2020
236,37.0788,2,Radial Velocity,2022
237,37.0788,2,Radial Velocity,2022
238,28.4434,1,Radial Velocity,2020
239,38.129,1,Radial Velocity,2025
240,5.75624,2,Radial Velocity,2020
241,5.75624,2,Radial Velocity,2014
242,15.2142,1,Transit,2024
243,5.58057,2,Radial Velocity,2020
244,5.58057,2,Radial Velocity,2025
245,23.6062,1,Radial Velocity,2014
246,5.921535,2,Radial Velocity,2017
247,5.921535,2,Radial Velocity,2017
248,17.5559,1,Radial Velocity,2000
249,16.6186,1,Radial Velocity,2020
250,22.4751,2,Transit,2022
251,22.4751,2,Radial Velocity,2026
252,28.4712,3,Radial Velocity,2017
253,28.4712,3,Radial Velocity,2017
254,28.4712,3,Radial Velocity,2017
255,15.1968,2,Radial Velocity,2007
256,15.1968,2,Radial Velocity,2018
257,18.23817,1,Radial Velocity,2022
258,20.5266,2,Radial Velocity,2013
259,20.5266,2,Radial Velocity,2023
260,20.1903,4,Radial Velocity,2015
261,20.1903,4,Radial Velocity,2015
262,20.1903,4,Radial Velocity,2017
263,20.1903,4,Radial Velocity,2017
264,5.37484,2,Radial Velocity,2017
265,5.37484,2,Radial Velocity,2017
266,23.619,1,Radial Velocity,2015
267,6.33256,1,Radial Velocity,2020
268,10.454,1,Transit,2025
269,29.4214,1,Radial Velocity,2012
270,27.3644,2,Transit,2020
271,27.3644,2,Radial Velocity,2020
272,9.48637,2,Radial Velocity,2019
273,9.48637,2,Radial Velocity,2020
274,9.44181,3,Transit,2019
275,9.44181,3,Radial Velocity,2019
276,9.44181,3,Radial Velocity,2019
277,20.3779,1,Radial Velocity,2010
278,9.41263,3,Transit,2021
279,9.41263,3,Radial Velocity,2023
280,9.41263,3,Radial Velocity,2023
281,13.743,1,Radial Velocity,2018
282,15.8095,2,Transit,2022
283,15.8095,2,Radial Velocity,2022
284,7.03149,1,Radial Velocity,2021
285,16.9287,1,Radial Velocity,2017
286,9.9105,1,Radial Velocity,2023
287,18.1459,3,Radial Velocity,2016
288,18.1459,3,Radial Velocity,2016
289,18.1459,3,Radial Velocity,2025
290,5.675773,2,Radial Velocity,2019
291,11.8893,2,Radial Velocity,2021
292,11.8893,2,Radial Velocity,2021
293,12.6631,1,Radial Velocity,2014
294,7.23556,2,Radial Velocity,2026
295,7.23556,2,Radial Velocity,2026
296,21.3362,1,Radial Velocity,2019
297,9.06456,3,Radial Velocity,2011
298,9.06456,3,Radial Velocity,2014
299,9.06456,3,Radial Velocity,2020
300,9.75321,1,Radial Velocity,2004
301,18.3554,1,Radial Velocity,2022
302,14.2358,1,Radial Velocity,2020
303,8.07426,1,Radial Velocity,2021
304,17.5299,1,Imaging,2013
306,7.61778,1,Radial Velocity,2022
307,10.4092,2,Radial Velocity,2016
308,10.4092,2,Radial Velocity,2025
309,6.2981,3,Radial Velocity,2005
310,6.2981,3,Radial Velocity,2007
311,6.2981,3,Radial Velocity,2009
312,6.47249,1,Radial Velocity,2017
313,10.3796,1,Radial Velocity,2009
314,7.24396,5,Radial Velocity,2012
315,7.24396,5,Radial Velocity,2013
316,7.24396,5,Radial Velocity,2013
317,7.24396,5,Radial Velocity,2013
318,7.24396,5,Radial Velocity,2013
319,4.54896,1,Radial Velocity,2007
320,16.0272,4,Radial Velocity,2010
321,16.0272,4,Radial Velocity,2016
322,16.0272,4,Radial Velocity,2012
323,16.0272,4,Radial Velocity,2012
324,9.67315,1,Radial Velocity,2022
325,5.00671,2,Radial Velocity,2014
326,5.00671,2,Radial Velocity,2014
327,14.3155,1,Radial Velocity,2019
328,4.54939,2,Radial Velocity,2014
329,4.54939,2,Radial Velocity,2020
330,15.5575,1,Radial Velocity,2021
331,16.9658,1,Radial Velocity,2023
332,11.1017,1,Radial Velocity,2021
333,12.0445,2,Transit,2023
334,12.0445,2,Radial Velocity,2023
335,4.96435,1,Radial Velocity,2008
336,8.80058,2,Radial Velocity,2006
337,8.80058,2,Radial Velocity,2014
338,10.7836,1,Radial Velocity,1999
339,4.67517,4,Radial Velocity,1998
340,4.67517,4,Radial Velocity,2000
341,4.67517,4,Radial Velocity,2005
342,4.67517,4,Radial Velocity,2010
343,3.28679,4,Radial Velocity,2020
344,3.28679,4,Radial Velocity,2020
345,3.28679,4,Radial Velocity,2026
346,3.28679,4,Radial Velocity,2026
347,6.26022,1,Astrometry,2022
348,20.8065,1,Imaging,2024
349,4.471,1,Radial Velocity,2020
350,23.8839,1,Radial Velocity,2023
351,11.9315,1,Radial Velocity,2018
352,30.6203,1,Radial Velocity,2020
353,20.5121,1,Radial Velocity,2022
354,15.9211,1,Radial Velocity,2025
355,29.661,3,Transit,2017
356,29.661,3,Transit,2017
357,29.661,3,Transit,2017
358,655.013,1,Transit,2021
359,151.169,1,Imaging,2004
360,108.5,1,Imaging,2010
361,47.5501,1,Imaging,2014
362,363.66,1,Transit,2022
363,209.229,1,Transit,2022
364,73.4829,1,Astrometry,2025
365,41.1813,1,Astrometry,2025
366,1270.0,1,Microlensing,2024
367,14.9545,1,Radial Velocity,2019
368,11.9324,1,Radial Velocity,2025
369,9.8528,1,Radial Velocity,2019
370,8.15728,1,Radial Velocity,2018
371,3.5214,1,Radial Velocity,2025
372,12.21,1,Transit,2024
373,158.979,1,Transit,2006
374,37.7647,2,Transit,2008
375,37.7647,2,Radial Velocity,2018
376,142.751,1,Transit,2009
377,246.81,2,Transit,2009
378,246.81,2,Radial Velocity,2009
379,222.663,1,Transit,2010
380,192.516,1,Transit,2010
381,226.637,1,Transit,2010
382,92.3831,2,Transit,2010
383,92.3831,2,Radial Velocity,2010
384,161.4,1,Transit,2010
385,202.078,1,Transit,2010
386,127.774,2,Transit,2007
387,127.774,2,Radial Velocity,2023
388,71.0374,1,Transit,2010
389,277.278,1,Transit,2010
390,81.7647,1,Transit,2010
391,364.813,1,Transit,2010
392,415.344,1,Transit,2010
393,300.384,1,Transit,2010
394,141.837,1,Transit,2010
395,199.173,1,Transit,2011
396,401.319,1,Transit,2011
397,313.576,1,Transit,2011
398,134.554,1,Transit,2007
399,213.985,1,Transit,2011
400,344.05,1,Transit,2011
401,289.205,1,Transit,2011
402,396.11,1,Transit,2011
403,249.325,1,Transit,2011
404,506.965,1,Transit,2011
405,294.419,1,Transit,2011
406,390.594,1,Transit,2011
407,255.206,1,Transit,2012
408,697.004,1,Transit,2012
409,320.451,1,Transit,2007
410,464.469,1,Transit,2012
411,348.185,1,Transit,2012
412,405.238,1,Transit,2012
413,528.825,1,Transit,2012
414,347.85,2,Transit,2014
415,347.85,2,Radial Velocity,2014
416,298.64,1,Transit,2014
417,290.736,1,Transit,2014
418,350.351,1,Transit,2014
419,303.336,1,Transit,2007
420,515.458,1,Transit,2015
421,440.089,1,Transit,2015
422,361.155,1,Transit,2015
423,666.802,1,Transit,2015
424,143.651,1,Transit,2015
425,511.388,1,Transit,2015
426,320.639,1,Transit,2015
427,279.86,1,Transit,2015
428,515.59,1,Transit,2021
429,265.471,1,Transit,2021
430,275.358,1,Transit,2007
431,233.22,1,Transit,2021
432,338.84,1,Transit,2021
433,348.815,1,Transit,2021
434,403.458,1,Transit,2021
435,651.897,1,Transit,2021
436,738.519,1,Transit,2016
437,935.456,1,Transit,2016
438,371.686,1,Transit,2017
439,202.152,1,Transit,2020
440,341.263,1,Transit,2019
441,341.079,1,Transit,2008
442,330.739,1,Transit,2019
443,211.553,1,Transit,2008
444,455.203,1,Transit,2008
445,283.971,1,Transit,2012
446,534.889,1,Transit,2015
447,944.603,1,Transit,2016
448,746.138,1,Transit,2016
449,421.855,1,Transit,2015
450,513.011,1,Transit,2015
451,1139.55,1,Transit,2016
452,757.044,1,Transit,2016
453,400.331,1,Transit,2016
454,624.368,1,Transit,2016
455,341.925,1,Transit,2013
456,229.518,1,Transit,2017
457,639.004,1,Transit,2017
458,494.182,1,Transit,2017
459,471.158,1,Transit,2016
460,861.843,1,Transit,2016
461,816.988,1,Transit,2016
462,535.383,1,Transit,2016
463,353.891,1,Transit,2016
464,411.211,1,Transit,2013
465,342.14,1,Transit,2016
466,773.974,1,Transit,2016
467,745.116,1,Transit,2016
468,248.46,1,Transit,2016
469,508.842,1,Transit,2016
470,514.555,1,Transit,2016
471,856.436,1,Transit,2018
472,211.896,1,Transit,2020
473,343.525,1,Transit,2020
474,878.521,1,Transit,2018
475,416.459,1,Transit,2014
476,1342.29,1,Transit,2018
477,737.668,1,Transit,2018
478,800.377,1,Transit,2018
479,362.273,1,Transit,2018
480,446.035,1,Transit,2018
481,772.11,1,Transit,2018
482,453.808,1,Transit,2018
483,300.67,1,Transit,2020
484,263.609,1,Transit,2020
485,324.413,1,Transit,2020
486,246.384,1,Transit,2014
487,756.742,1,Transit,2017
488,389.57,1,Transit,2017
489,555.134,1,Transit,2017
490,585.77,1,Transit,2017
491,748.585,1,Transit,2019
492,609.838,1,Transit,2019
493,564.409,1,Transit,2019
494,279.485,1,Transit,2019
495,403.591,1,Transit,2019
496,642.884,2,Transit,2018
497,642.884,2,Radial Velocity,2018
498,169.318,1,Transit,2015
499,486.474,1,Transit,2018
500,679.761,1,Transit,2018
501,523.067,1,Transit,2018
502,623.232,1,Transit,2018
503,1080.15,1,Transit,2018
504,493.32,1,Transit,2018
505,1477.98,1,Transit,2018
506,960.109,1,Transit,2018
507,603.955,1,Transit,2018
508,414.537,1,Transit,2018
509,240.707,1,Transit,2015
510,1458.83,1,Transit,2019
511,140.225,1,Transit,2020
512,127.589,1,Transit,2020
513,299.389,1,Transit,2021
514,194.964,1,Transit,2021
515,385.689,1,Transit,2021
516,436.176,1,Transit,2021
517,794.637,1,Transit,2015
518,638.7,1,Transit,2015
519,32.7548,1,Radial Velocity,2026
520,109.677,1,Imaging,2014
521,137.178,1,Radial Velocity,2011
522,49.5336,1,Radial Velocity,2007
523,12.7781,2,Transit,2025
524,12.7781,2,Transit,2025
527,38.9607,6,Radial Velocity,2010
528,38.9607,6,Radial Velocity,2010
530,38.9607,6,Radial Velocity,2010
531,30.0274,1,Radial Velocity,2005
532,39.5792,1,Radial Velocity,2005
533,29.3386,1,Radial Velocity,2006
534,347.097,1,Radial Velocity,2008
535,217.107,2,Radial Velocity,2011
536,217.107,2,Radial Velocity,2018
537,9.2894,1,Radial Velocity,2010
538,62.758,1,Radial Velocity,2019
539,126.484,1,Radial Velocity,2025
540,121.89,1,Radial Velocity,2010
541,57.1463,1,Radial Velocity,2009
542,45.5352,1,Radial Velocity,2014
543,56.4089,1,Radial Velocity,2013
544,55.5213,1,Radial Velocity,2022
545,26.4997,1,Radial Velocity,2019
546,20.3632,2,Radial Velocity,2009
547,20.3632,2,Radial Velocity,2024
548,135.374,1,Radial Velocity,2014
549,100.576,1,Radial Velocity,2003
550,70.0837,2,Radial Velocity,2022
551,70.0837,2,Radial Velocity,2022
552,55.2411,1,Radial Velocity,2022
553,38.185,1,Radial Velocity,2002
554,93.808,1,Radial Velocity,2011
555,109.353,2,Transit,2017
556,109.353,2,Transit,2017
557,17.3357,1,Radial Velocity,2006
558,34.0915,1,Radial Velocity,2012
559,103.029,1,Imaging,2013
560,33.1205,1,Radial Velocity,1999
561,49.4156,2,Radial Velocity,2005
562,49.4156,2,Radial Velocity,2021
563,38.92,1,Radial Velocity,2002
564,38.6846,1,Radial Velocity,2023
565,64.5978,5,Transit,2020
566,64.5978,5,Transit,2020
567,64.5978,5,Transit,2020
568,64.5978,5,Transit,2021
