rowid,hostname,st_teff,st_rad,st_mass,st_met,st_spectype,st_age,st_rotp
1,11 Com,4874.0,13.76,2.09,-0.26,G8 III,,
2,11 UMi,4213.0,29.79,2.78,-0.02,K4 III,1.56,
3,14 And,4888.0,11.55,1.78,-0.21,K0 III,4.5,
4,14 Her,5338.0,0.93,0.97,0.43,K0,4.6,
5,16 Cyg B,5750.0,1.13,1.08,0.06,G3 V,7.4,
6,17 Sco,4157.0,25.92,1.22,-0.01,K3 III,5.13,329.49
7,18 Del,4980.0,8.8,2.1,-0.06,G6 III,1.1,
8,1RXS J160929.1-210524,4060.0,1.31316,0.85,,K7 V,0.005,
9,24 Boo,4816.0,12.19,1.05,-0.78,G3 IV,6.92,
10,24 Sex,5098.0,4.9,1.54,-0.03,K0 IV,2.7,
11,24 Sex,5098.0,4.9,1.54,-0.03,K0 IV,2.7,
12,2MASS J04372171+2651014,3100.0,0.84,0.17,0.01,M V,0.0025,1.84
13,2MASS J01033563-5515561 A,,,0.19,,M5.5/M6,0.03,
14,2MASS J01225093-2439505,3530.0,0.36645,0.4,,M3.5 V,0.12,
15,2MASS J02192210-3925225,3064.0,0.281,0.108,,M6,0.035,
16,2MASS J0249-0557 A,2859.0,0.315959,0.046,,M6 V,0.022,
17,2MASS J03590986+2009361,2943.0,0.289776,0.264996,,,,
18,2MASS J04414489+2301513,2936.0,0.231916,0.019,,M8.5,0.001,
20,2MASS J11550485-7919108,3021.0,0.600455,0.58846,,,,
21,2MASS J12073346-3932539,2825.0,0.21887,0.188001,,M8,0.01,
22,2MASS J19383260+4603591,29564.0,0.203,0.48,-0.092,,,
23,2MASS J21252752-8138278,3592.0,0.672832,0.643977,,,,
24,2MASS J22362452+4751425,4045.0,0.641152,0.6,,K7 V,0.12,
25,2MASS J22501512+2325342,3352.0,0.437589,0.433173,,M3,0.15,
26,4 UMa,4415.0,18.11,1.234,-0.25,K1 III,4.604,
27,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
28,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
29,47 UMa,5872.0,1.21334,1.06,0.04,G0V,6.48,
31,51 Peg,5758.0,1.17561,1.03,0.18,G5V,10.0,30.0
32,55 Cnc B,3286.0,0.274,0.26,0.16,M4.5 V,10.0,92.0
33,55 Cnc B,3286.0,0.274,0.26,0.16,M4.5 V,10.0,92.0
34,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
35,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
36,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
37,55 Cnc,5172.0,0.943,0.905,0.35,G8 V,5.5,38.8
38,55 Cnc,5198.0,0.98,1.015,0.39,G8 V,10.0,39.0
39,6 Lyn,4941.0,4.94,1.32,-0.17,K0 IV,2.353,
40,61 Vir,5577.0,0.963,0.942,-0.01,G5 V,8.96,
41,61 Vir,5577.0,0.963,0.942,-0.01,G5 V,8.96,
42,61 Vir,5577.0,0.963,0.942,-0.01,G5 V,8.96,
43,7 CMa,4826.0,4.87,1.34,0.21,K1III(+M),4.3,
44,7 CMa,4826.0,4.87,1.34,0.21,K1III(+M),4.3,
45,70 Vir,5495.0,1.89,1.09,-0.09,G5V,7.77,
46,75 Cet,4809.0,10.38,1.92,0.1,G3 III,,
47,75 Cet,4809.0,10.38,1.92,0.1,G3 III,,
48,8 UMi,4847.0,10.73,1.51,-0.03,K0,1.7,
49,81 Cet,4734.0,11.21,1.23,-0.11,G5 III,,
50,91 Aqr,4665.0,11.0,1.4,-0.03,K0 III,3.56,
51,AB Aur,9770.0,2.95887,2.4,,,0.003,
52,AB Pic,5285.0,0.999394,0.9,0.04,K2 V,0.03,
53,AF Lep,6140.0,1.25,1.218,0.19,F8,0.024,0.966
54,AT2021ueyL,3680.0,,0.49,,M V,,
55,AU Mic,3540.0,0.862,0.635,0.01,M1 V,0.019,4.86
56,AU Mic,3540.0,0.862,0.635,0.01,M1 V,0.019,4.86
57,AU Mic,3678.0,0.744,0.51,0.23,M1 V,0.0201,4.8367
58,AU Mic,3665.0,0.82,0.6,0.12,M1 V,0.0185,4.856
59,BD+03 2562,4095.0,32.35,1.14,-0.71,,5.2,
61,BD+14 4559,4864.0,0.86,0.49,0.17,K2 V,,
62,BD+15 2375,4649.0,8.95,1.08,-0.22,G5,7.41,
63,BD+15 2940,4796.0,14.7,1.1,0.28,K0,7.1,
64,BD+20 2457,4137.0,49.0,2.8,-1.0,K2 II,,
65,BD+20 2457,4137.0,49.0,2.8,-1.0,K2 II,,
66,BD+20 274,4296.0,17.3,0.8,-0.46,K5 III,,
67,BD+20 594,5766.0,1.08,1.67,-0.15,G,3.34,
68,BD+37 3172,4500.0,50.24,3.75,-0.03,,,1406.0
69,BD+42 2315,4500.0,17.85,1.38,-0.2,,,414.0
70,BD+45 564,5004.0,0.813064,0.81,-0.09,K1,,
71,BD+48 738,4414.0,11.0,0.74,-0.2,K0 III,,
72,BD+48 740,4534.0,10.33,1.09,-0.13,K3 III,,746.0
73,BD+49 828,4943.0,7.6,1.52,-0.19,K0,2.34,
74,BD+55 362,5012.0,0.896193,0.909,0.18,K3,,
75,BD+60 1417,4993.0,0.797,1.0,,K0,0.1,7.5
76,BD+63 1405,5000.0,0.804724,0.816,-0.09,K0,,
78,BD-06 1339,4324.0,0.686355,0.7,-0.14,K7/M0 V,4.4,
80,BD-08 2823,4746.0,0.71,0.74,-0.07,K3 V,4.5,
81,BD-10 3166,5393.0,0.91,1.47,0.38,K0 V,0.25,
82,BD-11 4672,4550.0,0.639,0.651,-0.35,K7V,7.4,25.0
83,BD-11 4672,4550.0,0.639,0.651,-0.35,K7V,7.4,25.0
84,BD-13 2130,4545.0,19.17,2.12,-0.08,G5 IV/V,0.74,
85,BD-14 3065 A,6935.0,2.35,1.41,-0.34,,2.24,4.3
86,BD-17 63,4714.0,0.74,0.741,-0.03,K5 V,4.3,
87,BD-210397,4051.0,0.747,0.679,0.12,K7 V,6.2,
88,BD-210397,4051.0,0.747,0.69,0.12,K7 V,4.0,
89,BEBOP-3,6033.0,1.414,1.083,-0.02,,,
91,Barnard's star,3195.0,0.185,0.162,-0.56,M3.5-4 V,,142.0
92,Barnard's star,3195.0,0.185,0.162,-0.56,M3.5-4 V,,142.0
93,Barnard's star,3195.0,0.185,0.162,-0.56,M3.5-4 V,,142.0
94,Barnard's star,3195.0,0.185,0.162,-0.56,M3.5-4 V,,142.0
95,CD Cet,3130.0,0.175,0.161,0.13,M5.0 V,3.0,126.2
96,CD-35 2722,3689.0,0.558549,0.4,-0.16,M1 V,0.1,
97,CFBDSIR J145829+101343,580.5,,0.021,,,,
99,CHXR 73,3099.0,,0.35,,M3.5,0.002,
100,CI Tau,3807.0,1.880857,0.9,,K7,0.0025,
101,COCONUTS-2 A,3406.0,0.388,0.37,0.0,M3 V,0.475,2.83
102,CT Cha,4403.0,1.679694,,-0.56,K5e,0.002,
103,CoRoT-1,5950.0,1.11,0.95,-0.3,G0 V,1.6,
104,CoRoT-10,5075.0,0.79,0.89,0.26,K1 V,3.0,
105,CoRoT-11,6440.0,1.37,1.27,-0.03,F6 V,2.0,
106,CoRoT-12,5675.0,1.116,1.078,0.16,,6.3,
107,CoRoT-13,5945.0,1.01,1.09,0.01,G0 V,1.635,
108,CoRoT-14,6035.0,1.21,1.13,0.05,F9 V,4.2,
109,CoRoT-16,5650.0,1.19,1.098,0.19,G5 V,6.73,
110,CoRoT-17,5740.0,1.59,1.04,0.0,G2 V,10.7,
111,CoRoT-18,5440.0,1.0,0.95,-0.1,G9 V,0.6,5.4
112,CoRoT-19,6090.0,1.65,1.21,-0.02,F9 V,5.0,
113,CoRoT-2,5625.0,0.906,0.96,0.04,,2.7,4.522
114,CoRoT-20,5880.0,1.02,1.14,0.14,G2 V,0.1,
115,CoRoT-20,5880.0,1.02,1.14,0.14,G2 V,0.1,
116,CoRoT-21,6200.0,1.95,1.29,0.0,F8 IV,4.1,
117,CoRoT-22,5939.0,1.136,1.099,0.17,G3 V,3.3,
118,CoRoT-23,5900.0,1.61,1.14,0.05,G0 V,7.2,
119,CoRoT-24,4950.0,0.86,0.91,0.3,K1 V,11.0,
120,CoRoT-24,4950.0,0.86,0.91,0.3,K1 V,11.0,
121,CoRoT-25,6040.0,1.19,1.09,-0.01,F9,4.5,
122,CoRoT-26,5590.0,1.79,1.09,0.01,G5,8.6,
123,CoRoT-27,5900.0,1.08,1.05,-0.1,G2,4.21,
124,CoRoT-28,5150.0,1.78,1.01,0.15,G8/9 IV,12.0,
125,CoRoT-29,5260.0,0.9,0.97,0.2,K0 V,4.5,
126,CoRoT-3,6740.0,1.56,1.37,0.14,F3 V,2.2,
127,CoRoT-30,5650.0,0.91,0.98,0.02,G3 V,3.0,
128,CoRoT-31,5700.0,2.15,1.25,0.0,G2 IV,4.7,
129,CoRoT-32,5970.0,0.79,1.08,0.0,G0 VI,,
130,CoRoT-35,6390.0,1.65,1.01,-0.5,F6 V,6.1,
131,CoRoT-36,6730.0,1.52,1.32,-0.1,F3 V,2.1,
132,CoRoT-4,6190.0,1.17,1.16,0.05,,1.0,8.9
133,CoRoT-5,6100.0,1.186,1.0,-0.25,F9 V,6.9,
134,CoRoT-6,6090.0,1.025,1.05,-0.2,F9 V,2.5,6.4
135,CoRoT-7,5275.0,0.83,0.82,0.05,G9 V,1.8,
136,CoRoT-7,5256.0,0.864273,0.899,0.06,G9 V,1.8,
137,CoRoT-7,5250.0,0.8389,0.915,0.12,G9 V,1.8,
138,CoRoT-8,5080.0,0.77,0.88,0.3,K1 V,3.0,
139,CoRoT-9,5625.0,0.96,0.96,-0.01,G3 V,6.0,
140,DE CVn,3579.0,0.424754,0.51,,,,
141,DENIS-P J082303.1-491201,,,0.075,,L1.5,1.0,
142,DH Tau,4371.0,0.27,0.33,,M0.5,0.001,
143,DMPP-1,6196.0,1.26,1.21,,F8 V,2.01,
144,DMPP-1,6196.0,1.26,1.21,,F8 V,2.01,
145,DMPP-1,6196.0,1.26,1.21,,F8 V,2.01,
146,DMPP-1,6196.0,1.26,1.21,,F8 V,2.01,
147,DMPP-2,6500.0,1.78,1.41,,F5 V,2.0,
148,DMPP-2,6500.0,1.78,1.41,,F5 V,2.0,
149,DMPP-2,6500.0,1.78,1.41,,F5 V,2.0,
150,DMPP-3 A,5138.0,0.91,0.9,0.18,K0 V,10.9,21.8
151,DMPP-4,6400.0,1.38,1.25,-0.007,F5-F8 V,2.15,
152,DMPP-6,6182.09,1.27,1.079,0.32,,,19.2
153,DMPP-6,6182.09,1.27,1.079,0.32,,,19.2
154,DMPP-7,5996.82,1.53949,1.09,,G1 V,3.87,19.8
155,DMPP-8,6009.0,1.24,0.99,,,,24.2
156,DMPP-9,6092.0,1.26,1.1,,,,16.2
157,DP Leo,13500.0,0.0115,0.69,,,,
158,DS Tuc A,5428.0,0.964,1.01,0.0,G6 V,0.045,2.85
159,EPIC 201170410,3648.0,0.282,0.287,-0.048,,,
160,EPIC 201238110,3587.0,0.374,0.41,,,,
161,EPIC 201427007,5633.0,0.94,0.93,-0.053,,,
162,EPIC 201497682,4991.0,0.554,0.78,-0.0892,,,
163,EPIC 201595106,5679.0,0.98,0.958,0.01,,6.0,28.0
164,K2-166,5960.0,1.61,1.073,0.09,,,
165,K2-16,4761.0,0.544,0.67,-0.33,K3 V,,
166,EPIC 201757695,4520.0,0.655,0.727,-0.003,,,
167,K2-50,4326.0,0.634,0.611,-0.1132,,,
168,EPIC 201841433,5053.0,0.628461,0.802,0.0,,,
169,K2-168,5502.7,0.83,0.877,-0.13,,,
170,EPIC 206024342,5724.0,0.823,0.928,-0.22,,,
171,EPIC 206024342,5724.0,1.1,0.928,-0.22,,,
172,EPIC 206024342,5724.0,1.1,0.928,-0.22,,,
173,EPIC 206032309,3489.0,0.37344,0.221,,,,
174,EPIC 206042996,4114.0,0.5,0.565,0.006,,,
175,EPIC 206042996,4114.0,0.5,0.565,0.006,,,
176,EPIC 206215704,3297.0,0.25,0.407,-0.33,,,
177,EPIC 206317286,4752.0,0.669,0.711,0.019,,,
178,EPIC 206317286,4752.0,0.758,0.832,0.019,,,
179,EPIC 211822797,4057.0,0.58,0.62,0.2,M0,0.79,14.6
180,EPIC 211945201,6069.0,1.39,1.17,0.1,G0,3.99,
181,EPIC 212297394,5171.0,0.8,0.83,-0.03,,,
182,EPIC 212297394,5171.0,0.8,0.83,-0.03,,,
183,EPIC 212424622,5782.33,1.2247,1.106,,,,
184,EPIC 212499991,4982.79,0.757541,0.912,,,,
185,EPIC 212587672,6004.0,0.98,0.99,-0.18,,,
186,EPIC 212587672,6004.0,0.98,0.99,-0.18,,,
187,EPIC 212624936,5765.0,0.93,1.0,-0.39,,,
188,EPIC 212624936,5765.0,0.93,1.0,-0.39,,,
189,EPIC 212737443,4684.0,0.673,0.69,-0.137,K3,,
190,EPIC 212737443,4684.0,0.673,0.69,-0.137,K3,,
191,EPIC 220492298,5620.0,0.89,0.95,0.28,,,
192,K2-282,5499.0,1.0,0.94,-0.23,,,
193,EPIC 220674823,5578.0,0.99,0.913,-0.005,G5 V,7.5,
194,EPIC 220674823,5578.0,0.99,0.913,-0.005,G5 V,7.5,
195,EPIC 228836835,3782.0,0.32,0.418179,-0.18,,,
196,EPIC 229004835,5868.0,0.999,0.97,-0.12,,4.9,
197,EPIC 246851721,6202.0,1.586,1.317,0.141,F5 V,3.02,
198,EPIC 248847494,4898.0,2.7,0.9,-0.23,,,
199,EPIC 249893012,5430.0,1.71,1.05,0.2,G8 IV/V,9.0,41.0
200,EPIC 249893012,5430.0,1.71,1.05,0.2,G8 IV/V,9.0,41.0
201,EPIC 249893012,5430.0,1.71,1.05,0.2,G8 IV/V,9.0,41.0
202,FU Tau,2838.0,,0.05,,M7.25,0.001,
203,G 192-15,2999.0,0.170718,0.132,,M5.0 V,,105.0
204,G 192-15,2999.0,0.170718,0.132,,M5.0 V,,105.0
205,G 196-3,3517.0,0.522432,0.519782,,,,
206,G 261-6,2907.0,0.153162,0.118,,M5.5 V,,114.0
207,G 264-012,3326.0,0.305,0.297,0.1,M4.0 V,,100.0
208,G 264-012,3326.0,0.305,0.297,0.1,M4.0 V,,100.0
210,G 9-40,3395.0,0.3026,0.2952,-0.07,M2.5 V,9.9,30.0
211,GJ 1002,3024.0,0.137,0.12,-0.25,M5.5 V,,126.0
212,GJ 1002,3024.0,0.137,0.12,-0.25,M5.5 V,,126.0
213,GJ 1061,2953.0,0.156,0.12,-0.08,M5.5 V,7.0,125.0
214,GJ 1061,2953.0,0.156,0.12,-0.08,M5.5 V,7.0,125.0
215,GJ 1061,2953.0,0.156,0.12,-0.08,M5.5 V,7.0,125.0
216,GJ 1132,3229.0,0.2211,0.1945,-0.17,M4.5 V,5.0,122.3
217,GJ 1132,3270.0,0.2105,0.181,-0.31,M4.5 V,5.0,122.3
218,GJ 1148,3287.0,0.358519,0.344045,0.1596,M5,,
219,GJ 1148,3287.0,0.358519,0.344045,0.1596,M5,,
220,GJ 1151,3280.0,0.1781,0.1639,-0.12,M 4.5V,,140.0
221,GJ 1214,3101.0,0.2162,0.182,0.24,M4 V,3.0,124.7
222,GJ 1252,3458.0,0.391,0.381,0.1,M3,3.9,64.0
223,GJ 1265,3236.0,0.192,0.178,-0.04,M4.5 V,,70.0
224,GJ 1289,3296.0,0.245012,0.21,0.02,M4.5 Ve,,73.66
225,GJ 143,4640.0,0.695,0.73,0.003,K4.5,3.8,
226,GJ 15 A,3607.0,0.38,0.38,-0.34,M1,,
227,GJ 15 A,3607.0,0.38,0.38,-0.34,M1,,
228,GJ 160.2,4347.0,0.655173,0.69,,M0 V,,43.6
229,GJ 163,3500.0,0.409738,0.4,0.1,M,6.0,
230,GJ 163,3500.0,0.409738,0.4,0.1,M,6.0,
231,GJ 163,3500.0,0.409738,0.4,0.1,M,6.0,
232,GJ 179,3370.0,0.38,0.357,0.3,M3.5 V,,
233,GJ 180,3371.0,0.413049,0.43,,M3,,
234,GJ 180,3371.0,0.413049,0.43,,M3,,
235,GJ 180,3371.0,0.413049,0.43,,M3,,
236,GJ 2030,5485.0,2.24104,0.96,-0.4,,,
237,GJ 2030,5485.0,2.24104,0.96,-0.4,,,
238,GJ 2056,4069.95,0.709495,0.62,,M0V:,,
239,GJ 2126,4159.0,0.728,0.65,0.6,M0 V,,
240,GJ 229,3564.0,0.46,0.509,,M1.5V,0.4,
241,GJ 229,3564.0,0.46,0.509,,M1.5V,0.4,
242,GJ 238,3485.0,0.4314,0.4193,0.15,M2.5 V,,44.0
243,GJ 251,3342.0,0.36,0.35,0.07,M3.0 V,6.8,122.1
244,GJ 251,3342.0,0.36,0.35,0.07,M3.0 V,6.8,122.1
245,GJ 27.1,3542.0,0.518887,0.53,,M0.5 V,,
246,GJ 273,3382.0,0.293,0.29,0.09,M3.5,,99.0
247,GJ 273,3382.0,0.293,0.29,0.09,M3.5,,99.0
248,GJ 3021,5540.0,0.9,0.9,0.1,G6 V,0.37,
249,GJ 3082,3910.0,0.465216,0.47,,M4,,
250,GJ 3090,3707.0,0.516,0.519,0.12,M2 V,,17.95
251,GJ 3090,3707.0,0.516,0.519,0.12,M2 V,,17.95
252,GJ 3138,3717.0,0.5,0.681,-0.3,M0,,42.5
253,GJ 3138,3717.0,0.5,0.681,-0.3,M0,,42.5
254,GJ 3138,3717.0,0.5,0.681,-0.3,M0,,42.5
255,GJ 317,3496.0,0.403,0.402,-0.02,M3.5 V,5.0,57.5
256,GJ 317,3496.0,0.403,0.402,-0.02,M3.5 V,5.0,57.5
257,GJ 3222,5257.46,0.931389,0.89,0.16,K0V,,
258,GJ 328,3897.0,0.63,0.65,-0.06,M0.0,,
259,GJ 328,3897.0,0.63,0.65,-0.06,M0.0,,
260,GJ 3293,3466.0,0.404,0.42,0.02,M2.5,,41.0
261,GJ 3293,3466.0,0.404,0.42,0.02,M2.5,,41.0
262,GJ 3293,3466.0,0.404,0.42,0.02,M2.5,,41.0
263,GJ 3293,3466.0,0.404,0.42,0.02,M2.5,,41.0
264,GJ 3323,3159.0,0.119,0.164,-0.27,M4,,33.0
265,GJ 3323,3159.0,0.119,0.164,-0.27,M4,,33.0
266,GJ 3341,3526.0,0.439,0.47,-0.09,M2.5,,
267,GJ 338 B,4014.0,0.58,0.64,-0.03,M0 V,4.0,16.61
268,GJ 341,3770.0,0.5066,0.48,-0.16,M1,,
269,GJ 3470,3600.0,0.547,0.539,0.2,M1.5,1.65,21.54
270,GJ 3473,3347.0,0.364,0.36,0.11,M4,,168.3
271,GJ 3473,3347.0,0.364,0.36,0.11,M4,,168.3
272,GJ 3512,3141.0,0.139,0.123,-0.07,M5.5 V,5.5,83.0
273,GJ 3512,3141.0,0.139,0.123,-0.07,M5.5 V,5.5,83.0
274,GJ 357,3505.0,0.337,0.342,-0.12,M2.5 V,,77.8
275,GJ 357,3505.0,0.337,0.342,-0.12,M2.5 V,,77.8
276,GJ 357,3505.0,0.337,0.342,-0.12,M2.5 V,,77.8
277,GJ 3634,3517.0,0.43,0.45,,M2.5,5.0,
278,GJ 367,3522.0,0.458,0.455,-0.01,M1.0 V,,51.3
279,GJ 367,3522.0,0.458,0.455,-0.01,M1.0 V,,51.3
280,GJ 367,3522.0,0.458,0.455,-0.01,M1.0 V,,51.3
281,GJ 3779,3324.0,0.281,0.27,0.0,M4.0 V,,95.0
282,GJ 3929,3384.0,0.32,0.313,-0.02,M3.5 V,7.1,122.0
283,GJ 3929,3384.0,0.32,0.313,-0.02,M3.5 V,7.1,122.0
284,GJ 393,3579.0,0.426,0.426,-0.09,M2.0 V,,34.15
285,GJ 3942,3867.0,0.61,0.63,-0.04,M0,,
286,GJ 3988,3273.0,0.19734,0.1842,-0.12,M4.5 V,,116.0
287,GJ 3998,3726.0,0.5,0.52,-0.13,M1,8.38,
288,GJ 3998,3726.0,0.5,0.52,-0.13,M1,8.38,
289,GJ 3998,3726.0,0.5,0.52,-0.13,M1,8.38,
290,GJ 411,3719.0,0.3685,0.3899,-0.3621,M1.5 V,8.047,56.16
291,GJ 414 A,4120.0,0.68,0.65,0.24,K7 V,12.4,
292,GJ 414 A,4120.0,0.68,0.65,0.24,K7 V,12.4,
293,GJ 422,3323.0,0.370328,0.35,,M3.5 V,,
294,GJ 4274,3228.0,0.19,0.18,-0.19,M4.5 V,0.12,4.6
295,GJ 4274,3228.0,0.19,0.18,-0.19,M4.5 V,0.12,4.6
296,GJ 4276,3387.0,0.407,0.406,0.12,M4.0,6.9,64.3
297,GJ 433,3461.0,0.5,0.48,-0.17,M2V,,
298,GJ 433,3461.0,0.5,0.48,-0.17,M2V,,
299,GJ 433,3461.0,0.5,0.48,-0.17,M2V,,
300,GJ 436,3586.11,0.455,0.47,0.0991,M2.5 V,6.0,44.09
301,GJ 463,3563.0,0.483,0.486,-0.16,M3.0 V,,32.9
302,GJ 480,3509.0,0.449,0.45,0.26,M3.5 Ve,,50.3
303,GJ 486,3317.0,0.3243,0.312,-0.15,M3.5 V,4.0,130.1
304,GJ 504,6234.0,1.26,1.22,0.28,G0 V,0.16,3.33
306,GJ 514,3728.0,0.5,0.51,-0.14,M0.5-1.0 V,0.8,28.0
307,GJ 536,3641.0,0.529,0.528,-0.08,M1 V,4.2,43.63
308,GJ 536,3641.0,0.529,0.528,-0.08,M1 V,4.2,43.63
309,GJ 581,3500.0,0.302,0.295,-0.08,M3.0 V,4.3,132.5
310,GJ 581,3500.0,0.302,0.295,-0.08,M3.0 V,4.3,132.5
311,GJ 581,3500.0,0.302,0.295,-0.08,M3.0 V,4.3,132.5
312,GJ 625,3499.0,0.31,0.3,-0.38,M2,,77.8
313,GJ 649,3734.0,0.5,0.51,-0.15,M1.0,0.44,24.89
314,GJ 667 C,3350.0,,0.33,-0.55,M1.5 V,2.0,
315,GJ 667 C,3350.0,,0.33,-0.55,M1.5 V,2.0,
316,GJ 667 C,3350.0,,0.33,-0.55,M1.5 V,2.0,
317,GJ 667 C,3350.0,,0.33,-0.55,M1.5 V,2.0,
318,GJ 667 C,3350.0,,0.33,-0.55,M1.5 V,2.0,
319,GJ 674,3600.0,0.36463,0.35,-0.28,M2.5,0.55,
320,GJ 676 A,3734.0,0.69,0.626,0.23,M0,,
321,GJ 676 A,3734.0,0.69,0.626,0.23,M0,,
322,GJ 676 A,3734.0,0.69,0.626,0.23,M0,,
323,GJ 676 A,3734.0,0.69,0.626,0.23,M0,,
324,GJ 680,3563.0,0.45933,0.456,,K5,,
325,GJ 682,3028.0,0.298255,0.27,,M3.5 V,,
326,GJ 682,3028.0,0.298255,0.27,,M3.5 V,,
327,GJ 685,3816.0,0.54,0.55,-0.15,M0.5,,18.15
328,GJ 687,3413.0,0.4183,0.4,0.0631,M3.0V,,
329,GJ 687,3413.0,0.4183,0.4,0.0631,M3.0V,,
330,GJ 720 A,3837.0,0.56,0.57,-0.14,M0.5 V,,36.05
331,GJ 724,3799.0,0.52226,0.5271,-0.02,M1.0 V,,57.0
332,GJ 740,3913.0,0.56,0.58,0.08,M1.0 V,,35.563
333,GJ 806,3600.0,0.4144,0.413,-0.28,M1.5 V,5.0,41.4
334,GJ 806,3600.0,0.4144,0.413,-0.28,M1.5 V,5.0,41.4
335,GJ 832,3472.0,0.441557,0.45,-0.3,M2/3 V,8.1,
336,GJ 849,3467.0,0.45,0.45,0.09,M3.5,3.0,40.45
337,GJ 849,3467.0,0.45,0.45,0.09,M3.5,3.0,40.45
338,GJ 86,5182.0,0.77,0.93,-0.22,K1V,11.3,30.0
339,GJ 876,3293.74,0.3,0.32,0.2129,M2.5V,1.0,
340,GJ 876,3293.74,0.3,0.32,0.2129,M2.5V,1.0,
341,GJ 876,3293.74,0.3,0.32,0.2129,M2.5V,1.0,
342,GJ 876,3293.74,0.3,0.32,0.2129,M2.5V,1.0,
343,GJ 887,3688.0,0.468,0.495,-0.06,M1 V,2.9,38.7
344,GJ 887,3688.0,0.468,0.495,-0.06,M1 V,2.9,38.7
345,GJ 887,3688.0,0.468,0.495,-0.06,M1 V,2.9,38.7
346,GJ 887,3688.0,0.468,0.495,-0.06,M1 V,2.9,38.7
347,GJ 896 A,3345.0,0.394682,0.43599,,M3.5 V,,
348,GJ 900 A,3976.0,0.716187,1.08,-0.63,K7,0.2,11.9
349,GJ 9066,3154.0,0.164,0.15,-0.13,M5.0 V,,1.96
350,GJ 9404,3811.0,0.626041,0.62,,M2V,,23.2
351,GJ 96,3785.0,0.580612,0.6,0.14,M2,,29.6
352,GJ 9689,3836.0,0.57,0.59,0.05,M0.5,8.9,39.97
353,GJ 9714,4263.0,0.662662,0.67,,K5V,,
354,GJ 9773,3528.0,0.362,0.358,-0.2,M3.0 V,,56.0
355,GJ 9827,4236.0,0.58,0.62,-0.29,K7 V,5.465,28.16
356,GJ 9827,4236.0,0.58,0.62,-0.29,K7 V,5.465,28.16
357,GJ 9827,4236.0,0.58,0.62,-0.29,K7 V,5.465,28.16
358,GPX-1,7000.0,1.56,1.68,0.35,F2,0.27,
359,GQ Lup,4360.0,1.94153,0.7,-0.35,K7e V,0.001,
360,GSC 06214-00210,4200.0,0.90484,0.9,-0.06,K7,0.005,
361,GU Psc,4031.81,0.450458,0.325,0.1,M3,0.1,
362,Gaia-1,5470.0,0.952,0.949,,,,
363,Gaia-2,5720.0,1.064,1.0,,,,
364,Gaia-4,4034.0,0.624,0.644,0.05,,6.8,13.3
365,Gaia-5,3447.0,0.345,0.339,-0.18,,8.2,
366,Gaia22dkvL,,,1.145,,,,
367,Gl 378,3879.0,0.56,0.56,0.06,M1,,
368,Gl 410,3842.0,0.543,0.55,0.05,K,0.48,13.93
369,Gl 49,3805.0,0.511,0.515,0.13,M1.5 V,,18.86
370,Gl 686,3656.0,0.427,0.426,-0.23,M1.0 V,,38.732
371,Gl 725 A,3433.0,0.351,0.33,-0.19,M3,6.2,103.1
372,Gliese 12,3328.0,0.265,0.255,-0.24,M3.0 V,7.0,85.0
373,HAT-P-1,5980.0,1.174,1.151,0.13,G0 V,3.6,
374,HAT-P-11,4653.0,0.683,0.811,0.31,K4,2.69,30.5
375,HAT-P-11,4653.0,0.683,0.811,0.31,K4,2.69,30.5
376,HAT-P-12,4650.0,0.701,0.733,-0.29,K4,2.5,
377,HAT-P-13,5653.0,1.756,1.32,0.46,G4,5.0,
378,HAT-P-13,5653.0,1.756,1.32,0.46,G4,5.0,
379,HAT-P-14,6600.0,1.82,2.65,0.11,F5 V,1.6,
380,HAT-P-15,5568.0,1.07,1.0,0.22,G5,6.8,
381,HAT-P-16,6140.0,1.158,1.218,0.17,F8,0.5,
382,HAT-P-17,5246.0,0.87,0.99,0.0,K,7.0,
383,HAT-P-17,5336.96,0.838682,0.92,0.0512,K,7.0,
384,HAT-P-18,4803.0,0.749,0.77,0.1,K2,12.4,
385,HAT-P-19,4962.0,0.773,0.807,0.166,K1,7.2,35.5
386,HAT-P-2,6380.0,1.39,1.33,0.18,F8,1.44,
387,HAT-P-2,6412.0,1.416,1.33,0.12,F8,1.44,
388,HAT-P-20,4595.0,0.694,0.756,0.35,K3,6.7,14.48
389,HAT-P-21,5588.0,1.21,1.24,0.01,G3,10.2,15.88
390,HAT-P-22,5302.0,1.11,1.13,0.24,G5 V,12.4,28.7
391,HAT-P-23,5905.0,1.203,1.13,0.15,G0,4.0,
392,HAT-P-24,6373.0,1.38,1.37,-0.16,F8,2.8,
393,HAT-P-25,5519.0,0.919,1.012,0.294,G5,3.2,
394,HAT-P-26,5079.0,0.87,1.12,-0.04,K1,9.0,
395,HAT-P-27,5316.0,0.864673,0.916,0.3,G8,4.4,
396,HAT-P-28,5680.0,1.103,1.025,0.12,G3,6.1,
397,HAT-P-29,6087.0,1.3,1.45,0.21,F8,2.2,
